date,numbers,fetched_at
14/05/2018 to 20/05/2018,"5,7,0,2,0,5,7,8,6,7,9,2,7,2,7,8,1,4,5,0,8,2,7,9,2,2,9,3,3,3,4,6,4,6,6,6,9,3,8,8,1,6,0,7,7,1,1,5,2,8,9,9,9,1,8,0",2026-09-18 13:49:36
21/05/2018 to 27/05/2018,"1,9,9,9,0,6,6,8,1,6,0,7,8,4,4,0,3,7,0,0,3,2,3,8,4,6,7,7,1,2,4,5,3,4,0,7,0,1,3,6,1,4,8,3,5,4,4,7,3,4,8,5,1,5,6,0",2026-09-18 13:49:36
28/05/2018 to 03/06/2018,"7,8,8,3,4,2,2,0,1,6,7,4,4,1,1,2,1,3,7,1,9,1,4,4,4,9,0,3,9,5,5,9,1,6,6,3,2,1,2,9,1,2,5,8,4,1,3,0,7,8,0,5,1,1,0,0",2026-09-18 13:49:36
04/06/2018 to 10/06/2018,"2,7,7,6,5,4,5,6,3,5,0,8,7,4,6,7,3,5,7,5,4,3,4,7,6,9,9,4,3,5,8,0,5,9,0,4,8,2,8,8,1,9,0,0,6,1,2,3,2,5,9,6,2,4,9,9",2026-09-18 13:49:36
11/06/2018 to 17/06/2018,"5,6,8,9,2,3,3,6,5,5,9,9,0,3,8,9,8,9,0,7,1,5,6,0,4,6,7,7,0,1,3,6,1,2,4,7,3,1,4,8,5,6,7,8,7,1,7,9,0,0,0,0,8,2,6,0",2026-09-18 13:49:36
18/06/2018 to 24/06/2018,"4,7,7,8,3,6,7,0,2,7,8,7,0,1,4,5,5,6,8,9,6,2,2,2,3,8,0,1,3,1,2,0,2,7,0,9,6,2,4,0,3,7,9,9,1,1,0,0,2,3,6,1,4,7,8,9",2026-09-18 13:49:36
25/06/2018 to 01/07/2018,"4,8,9,1,7,3,5,9,1,0,0,1,3,1,2,0,1,4,4,9,7,7,0,0,2,3,5,0,8,1,2,5,2,5,9,6,0,4,6,0,4,7,8,9,1,1,5,5,4,6,8,8,4,1,1,2",2026-09-18 13:49:36
02/07/2018 to 08/07/2018,"3,5,0,8,3,6,8,9,1,3,6,0,1,1,2,8,3,3,9,5,5,2,6,7,5,9,0,4,1,2,9,0,2,6,6,4,3,7,8,8,7,7,9,3,6,5,5,6,5,5,7,7,1,3,8,0",2026-09-18 13:49:36
09/07/2018 to 15/07/2018,"8,9,0,7,3,1,6,6,6,6,8,0,6,3,6,7,2,7,8,7,2,1,3,8,6,7,9,2,7,2,7,8,3,6,8,7,9,4,7,8,6,6,0,2,2,2,3,7,1,4,4,9,0,5,7,8",2026-09-18 13:49:36
16/07/2018 to 22/07/2018,"4,6,7,7,2,6,7,9,3,3,9,5,9,2,8,9,4,6,0,0,0,4,7,9,1,3,6,0,4,1,5,8,1,6,0,7,4,7,7,0,2,3,4,9,4,1,4,9,3,4,4,1,2,6,7,9",2026-09-18 13:49:36
23/07/2018 to 29/07/2018,"8,8,9,5,8,1,3,4,5,7,9,1,7,4,5,8,5,9,9,3,0,6,7,7,1,6,9,6,7,4,4,9,3,9,9,1,8,1,8,9,3,8,0,1,0,3,8,9,1,9,0,0,2,6,7,9",2026-09-18 13:49:36
