date,numbers,fetched_at
28-08-2017 To 01-09-2017,"4,8,9,1,4,6,8,0,5,7,9,1,8,3,7,8,3,4,8,5,5,2,6,7,2,8,0,0,7,3,4,0,2,3,0,5,2,2,4,6",2026-09-18 18:18:59
04-09-2017 To 08-09-2017,"2,9,0,1,9,1,8,0,6,8,8,2,2,1,3,8,5,7,9,1,0,2,9,9,3,4,4,1,9,1,4,4,3,5,6,4,9,2,7,0",2026-09-18 18:18:59
11-09-2017 To 15-09-2017,"4,5,0,9,4,2,4,8,2,3,5,0,7,2,7,8,1,7,8,6,0,2,3,5,6,0,0,6,8,4,5,9,2,5,7,4,3,4,4,5",2026-09-18 18:18:59
18-09-2017 To 22-09-2017,"3,3,9,5,3,2,4,7,1,2,9,2,3,3,4,6,3,8,0,1,2,1,5,6,3,6,0,9,6,1,7,8,1,6,0,7,7,2,6,9",2026-09-18 18:18:59
25-09-2017 To 29-09-2017,"1,4,9,4,6,3,5,8,5,9,9,3,2,3,4,5,1,1,8,0,9,1,4,4,1,2,8,1,3,1,5,7,1,5,0,6,7,2,7,8",2026-09-18 18:18:59
02-10-2017 To 06-10-2017,"2,6,7,5,3,3,3,7,1,8,8,7,1,3,9,9,2,6,6,4,6,2,5,9,1,5,9,5,5,3,4,8,1,5,0,6,1,3,9,9",2026-09-18 18:18:59
23-10-2017 To 27-10-2017,"6,8,8,2,1,3,8,0,1,4,8,3,4,1,3,0,3,7,7,7,9,4,5,0",2026-09-18 18:18:59
30-10-2017 To 03-11-2017,"5,9,9,3,3,2,3,8,3,5,6,4,4,1,4,9,1,8,0,9,8,1,2,5,2,5,7,4,5,2,4,9,2,9,0,1,6,8,8,0",2026-09-18 18:18:59
06-11-2017 To 10-11-2017,"2,4,7,3,3,3,5,5,5,9,9,3,1,3,8,0,1,3,7,1,3,4,9,0,3,7,7,7,5,1,4,0,7,0,0,7,3,3,0,0",2026-09-18 18:18:59
13-11-2017 To 17-11-2017,"3,3,9,5,9,2,3,4,1,2,8,1,1,2,4,5,1,7,7,5,1,4,8,9,1,6,7,4,8,1,3,4,6,6,0,2,2,5,8,9",2026-09-18 18:18:59
20-11-2017 To 24-11-2017,"5,6,7,8,3,5,8,0,1,5,6,2,6,3,6,7,2,4,5,1,2,2,0,0,1,1,9,1,9,1,3,5,2,6,8,6,3,3,5,5",2026-09-18 18:18:59
27-11-2017 To 01-12-2017,"2,5,7,4,4,1,6,7,2,9,0,1,9,3,7,9,6,7,0,3,7,3,4,0,1,1,5,7,9,2,8,9,7,9,9,5,9,2,8,9",2026-09-18 18:18:59
04-12-2017 To 08-12-2017,"1,2,7,0,6,1,6,9,5,8,9,2,1,2,3,6,4,4,0,8,5,2,4,9,2,2,5,9,0,4,6,0,2,5,6,3,0,6,7,7",2026-09-18 18:18:59
11-12-2017 To 15-12-2017,"3,0,0,3,2,1,4,7,3,3,4,0,1,2,9,0,3,5,6,4,4,3,4,7,3,7,9,9,9,1,8,0,1,5,9,5,8,1,7,0",2026-09-18 18:18:59
18-12-2017 To 22-12-2017,"1,2,9,2,5,2,4,9,2,7,0,9,8,3,5,0,2,0,0,2,8,5,5,8,2,5,7,4,4,2,6,6,3,8,0,1,4,2,2,0",2026-09-18 18:18:59
25-12-2017 To 29-12-2017,"6,7,0,3,5,7,8,0,1,5,0,6,5,6,9,0,3,5,0,8,9,1,8,0,3,4,6,3,2,3,9,0,3,4,0,7,0,2,3,5",2026-09-18 18:18:59
01-01-2018 To 05-01-2018,"2,3,8,3,5,1,1,3,5,8,9,2,5,1,6,8,3,3,6,2,5,2,3,0,1,5,6,2,4,1,4,9,1,3,4,8,7,2,7,8",2026-09-18 18:18:59
08-01-2018 To 12-01-2018,"3,7,9,9,0,3,7,0,1,4,7,2,8,1,7,0,2,2,9,3,3,7,7,9,1,6,6,3,1,5,6,0,5,6,9,0,6,3,4,9",2026-09-18 18:18:59
15-01-2018 To 19-01-2018,"3,4,5,2,7,1,7,9,2,6,7,5,0,3,3,4,2,3,9,4,3,1,6,6,1,3,3,7,0,2,3,5,4,7,7,8,2,3,4,5",2026-09-18 18:18:59
22-01-2018 To 26-01-2018,"2,8,9,9,9,5,6,8,6,9,0,5,4,1,6,7,1,7,8,6,3,7,7,9,1,4,4,9,9,2,7,0",2026-09-18 18:18:59
29-01-2018 To 02-02-2018,"1,6,7,4,8,3,5,0,1,5,0,6,1,1,2,8,5,6,8,9,8,5,6,7,4,4,6,4,1,2,3,6,3,4,4,1,0,4,8,8",2026-09-18 18:18:59
05-02-2018 To 09-02-2018,"1,4,9,4,9,4,7,8,5,5,8,8,3,5,9,9,2,6,0,8,6,2,6,8,1,7,8,6,7,2,6,9,9,9,0,8,2,1,3,8",2026-09-18 18:18:59
12-02-2018 To 16-02-2018,"3,5,9,7,1,2,3,6,2,4,4,0,5,1,4,0,6,6,8,0,8,1,3,4,1,5,6,2,4,7,7,0,8,9,0,7,3,7,8,8",2026-09-18 18:18:59
19-02-2018 To 23-02-2018,"6,6,7,9,5,7,8,0,1,6,8,5,4,1,1,2,2,3,6,1,0,4,6,0,1,7,9,7,4,3,4,7,3,5,5,3,6,1,7,8",2026-09-18 18:18:59
26-02-2018 To 02-03-2018,"1,3,8,2,1,1,4,6,1,6,0,7,8,2,2,4,6,8,8,2,5,5,0,0,4,8,9,1,8,1,7,0",2026-09-18 18:18:59
05-03-2018 To 09-03-2018,"2,4,5,1,2,1,5,6,1,3,7,1,4,5,9,0,2,5,7,4,0,1,3,6,5,8,9,2,5,7,9,9,1,6,0,7,1,4,8,9",2026-09-18 18:18:59
12-03-2018 To 16-03-2018,"1,3,8,2,0,2,3,5,1,2,2,5,6,6,0,0,1,5,8,4,0,3,8,9,4,6,9,9,1,1,5,5,2,7,8,7,3,3,3,7",2026-09-18 18:18:59
19-03-2018 To 23-03-2018,"4,5,7,6,9,1,8,0,3,8,8,9,6,3,5,8,3,4,5,2,9,2,7,0,2,6,6,4,4,3,5,6,1,6,8,5,4,6,8,0",2026-09-18 18:18:59
26-03-2018 To 30-03-2018,"5,6,0,1,7,4,6,7,1,3,8,2,5,7,9,9,8,9,0,7,8,4,5,9,4,9,0,3,6,3,4,9,1,3,8,2,6,5,5,6",2026-09-18 18:18:59
02-04-2018 To 06-04-2018,"1,5,6,2,2,6,6,0,7,7,9,3,8,4,6,8,4,4,8,6,2,5,7,0,3,0,0,3,3,1,4,8,1,8,0,9,6,7,9,0",2026-09-18 18:18:59
09-04-2018 To 13-04-2018,"2,2,9,3,9,1,3,5,1,7,9,7,3,2,4,7,1,5,8,4,6,3,6,7,1,4,6,1,1,4,8,9,1,1,2,4,7,3,7,7",2026-09-18 18:18:59
16-04-2018 To 20-04-2018,"5,8,9,2,5,2,5,8,3,4,9,6,1,2,9,0,2,4,6,2,0,2,4,4,2,5,8,5,1,1,4,6,1,3,7,1,5,3,6,6",2026-09-18 18:18:59
23-04-2018 To 27-04-2018,"2,5,9,6,2,1,1,0,2,6,0,8,0,3,7,0,2,2,8,2,3,2,3,8,4,9,0,3,6,8,8,0,2,5,8,5,8,1,7,0",2026-09-18 18:18:59
30-04-2018 To 04-05-2018,"1,3,5,9,3,7,7,9,3,6,0,9,8,5,6,7,7,0,0,7,5,1,6,8,3,5,9,7,5,2,3,0,1,8,0,9,7,1,2,4",2026-09-18 18:18:59
07-05-2018 To 11-05-2018,"1,1,9,1,8,4,4,0,1,5,0,6,7,1,8,8,3,4,9,6,3,1,4,8,9,9,0,8,1,3,4,4,4,4,9,7,7,4,5,8",2026-09-18 18:18:59
14-05-2018 To 18-05-2018,"5,7,8,0,7,2,5,0,3,6,0,9,5,2,6,7,1,8,0,9,4,1,3,0,1,4,0,5,1,3,3,5,4,5,9,8,5,3,6,6",2026-09-18 18:18:59
21-05-2018 To 25-05-2018,"1,7,7,5,8,3,5,0,2,6,7,5,0,3,8,9,2,4,4,0,1,1,4,6,1,2,6,9,4,1,4,9",2026-09-18 18:18:59
28-05-2018 To 01-06-2018,"1,5,5,1,2,1,2,9,6,7,0,3,8,1,8,9,1,6,7,4,9,2,2,5,1,5,0,6,2,2,2,8,1,3,8,2,0,1,9,0",2026-09-18 18:18:59
04-06-2018 To 08-06-2018,"2,4,8,4,9,6,6,7,2,5,9,6,4,4,5,5,3,3,0,6,9,5,6,8,5,6,9,0,1,2,2,7,2,5,9,6,9,4,7,8",2026-09-18 18:18:59
11-06-2018 To 15-06-2018,"1,7,0,8,9,3,6,0,5,9,0,4,0,2,4,4,3,6,6,5,3,2,4,7,3,6,8,7,2,1,5,6,2,4,6,2,4,1,6,7",2026-09-18 18:18:59
18-06-2018 To 22-06-2018,"2,9,0,1,8,1,2,5,1,9,9,9,0,3,3,4,8,9,0,7,3,3,4,6,1,1,3,5,9,6,6,7,3,3,7,3,9,1,3,5",2026-09-18 18:18:59
25-06-2018 To 29-06-2018,"2,6,0,8,3,1,4,8,5,9,0,4,3,2,5,6,2,5,6,3,1,2,4,5,5,6,9,0,5,5,0,0,2,4,4,0,4,3,5,6",2026-09-18 18:18:59
02-07-2018 To 06-07-2018,"4,8,8,0,4,1,4,9,2,4,5,1,5,2,5,8,5,8,0,3,9,6,6,7,1,8,9,8,0,2,4,4,1,3,7,1,8,2,7,9",2026-09-18 18:18:59
09-07-2018 To 13-07-2018,"1,2,3,6,8,1,1,6,3,6,9,8,2,4,9,9,3,8,9,0,9,1,3,5,2,5,8,5,3,5,8,0,2,3,0,5,3,2,2,9",2026-09-18 18:18:59
16-07-2018 To 20-07-2018,"1,5,6,2,8,1,7,0,2,4,5,1,2,3,9,0,1,2,7,0,7,1,2,4,1,9,0,0,4,4,4,6,4,5,8,7,3,1,2,0",2026-09-18 18:18:59
