date,numbers,fetched_at
07/10/2019 to 11/10/2019,"1,8,9,8,7,4,6,7,4,6,7,7,7,1,7,9,2,9,0,1,5,2,4,9,4,4,5,3,0,4,6,0,3,4,6,3,0,1,4,5",2026-09-18 13:49:42
14/10/2019 to 18/10/2019,"6,6,9,1,3,5,9,9,3,7,8,8,5,2,6,7,6,7,0,3,1,5,6,0,6,9,0,5,9,4,6,9,6,9,0,5,0,1,3,6",2026-09-18 13:49:42
21/10/2019 to 25/10/2019,"1,4,6,1,7,1,3,3,4,7,8,9,8,1,8,9,1,1,7,9,1,6,7,8,3,4,7,4,6,4,5,7",2026-09-18 13:49:42
04/11/2019 to 08/11/2019,"1,3,0,4,0,6,6,8,3,7,0,0,4,3,5,6,2,7,0,9,6,8,8,9,2,9,9,0,4,2,4,8,4,5,7,6,6,2,5,9",2026-09-18 13:49:42
11/11/2019 to 15/11/2019,"3,4,9,6,5,3,5,7,6,8,8,2,4,2,5,7,2,7,0,9,0,2,9,9,2,3,5,0,4,4,4,6,4,6,7,7,8,4,5,9",2026-09-18 13:49:42
18/11/2019 to 22/11/2019,"4,4,5,3,3,7,8,8,3,5,5,3,7,8,9,0,1,6,6,3,2,3,9,0,7,9,0,6,1,4,7,0,5,6,8,9,8,3,7,8",2026-09-18 13:49:42
25/11/2019 to 29/11/2019,"4,9,9,2,9,4,6,9,4,5,8,7,2,6,8,8,3,4,6,3,8,8,0,0,1,5,7,3,2,1,4,7,5,6,8,9,9,1,4,4",2026-09-18 13:49:42
02/12/2019 to 06/12/2019,"7,8,9,4,4,1,5,8,8,9,0,7,2,1,2,9,3,8,8,9,7,4,5,8,1,4,5,0,2,5,7,0,2,7,0,9,4,1,4,9",2026-09-18 13:49:42
09/12/2019 to 13/12/2019,"1,3,4,8,1,6,6,9,6,6,8,0,0,5,7,8,7,9,0,6,9,1,3,5,3,5,9,7,2,5,7,0,1,6,0,7,0,2,4,4",2026-09-18 13:49:42
16/12/2019 to 20/12/2019,"2,2,8,2,4,4,4,6,5,9,0,4,2,5,7,0,2,3,9,4,1,1,4,6,2,2,3,7,6,2,7,7,1,3,6,0,0,2,2,6",2026-09-18 13:49:42
23/12/2019 to 27/12/2019,"1,8,0,9,7,1,8,8,2,3,5,0,9,3,6,0,8,9,0,7,1,4,8,9,1,3,6,0,6,8,9,9,2,4,8,4,6,2,5,9",2026-09-18 13:49:42
30/12/2019 to 03/01/2020,"3,4,6,3,0,5,7,8,2,6,7,5,9,1,8,0,1,6,0,7,3,4,4,5,3,5,6,4,5,3,3,9,3,5,6,4,5,2,4,9",2026-09-18 13:49:42
06/01/2020 to 10/01/2020,"1,4,0,5,9,2,3,4,1,2,5,8,4,7,8,9,4,7,8,9,0,2,8,0,4,8,8,0,7,5,6,6,6,6,0,2,9,1,8,0",2026-09-18 13:49:42
13/01/2020 to 17/01/2020,"1,3,6,0,9,1,3,5,3,4,5,2,4,2,6,6,1,7,9,7,4,4,0,0,2,3,7,2,7,2,6,9,1,2,7,0,4,1,1,2",2026-09-18 13:49:42
20/01/2020 to 24/01/2020,"2,4,0,6,7,1,6,0,2,6,7,5,3,7,8,8,1,3,4,8,1,1,4,6,4,4,9,7,9,4,7,8,5,6,6,7,3,7,7,9",2026-09-18 13:49:42
27/01/2020 to 31/01/2020,"1,3,6,0,8,3,5,0,3,6,7,6,6,3,6,7,1,1,6,8,8,5,6,7,3,7,0,0,6,3,3,0,3,5,8,6,4,2,6,6",2026-09-18 13:49:42
