date,numbers,fetched_at
23/08/2021 to 29/08/2021,"4,7,9,0,1,1,4,6,1,3,9,3,0,5,5,0,8,0,0,8,1,3,3,5,6,9,9,4,7,1,1,5,6,7,9,2,7,4,4,9,1,9,9,9,0,6,7,7,1,7,8,6,0,1,2,7",2026-09-18 18:18:54
30/08/2021 to 05/09/2021,"1,1,0,2,7,3,5,9,2,3,9,4,2,2,4,6,6,7,0,3,3,6,8,9,1,6,8,5,1,5,8,8,3,3,4,0,2,1,5,6,3,5,8,6,5,2,3,0,2,4,5,1,4,2,4,8",2026-09-18 18:18:54
06/09/2021 to 12/09/2021,"2,5,8,5,6,2,4,0,1,3,0,4,0,3,7,0,1,2,4,7,7,4,5,8,3,6,7,6,2,4,9,9,9,0,0,9,7,2,2,3,3,4,4,1,1,4,8,9,3,5,0,8,2,3,3,6",2026-09-18 18:18:54
13/09/2021 to 19/09/2021,"5,9,9,3,1,6,7,8,6,8,0,4,8,2,6,0,4,7,0,1,5,7,9,9,6,6,0,2,0,5,6,9,1,4,4,9,7,1,6,0,4,4,6,4,1,2,3,6,2,2,4,8,4,2,5,7",2026-09-18 18:18:54
20/09/2021 to 26/09/2021,"1,7,9,7,9,5,5,9,1,2,3,6,3,2,2,9,1,6,6,3,8,3,7,8,4,8,8,0,2,2,3,7,2,6,7,5,7,8,9,0,3,5,7,5,0,5,7,8,2,9,0,1,4,5,9,0",2026-09-18 18:18:54
27/09/2021 to 03/10/2021,"1,3,8,2,0,1,9,0,5,7,7,9,1,5,7,9,2,3,5,0,8,1,2,5,3,8,0,1,2,5,8,9,2,5,0,7,0,1,3,6,1,4,9,4,0,3,8,9,1,6,9,6,8,4,5,9",2026-09-18 18:18:54
04/10/2021 to 10/10/2021,"2,3,8,3,7,1,2,4,5,6,0,1,1,1,3,7,3,6,9,8,3,2,5,6,2,6,0,8,9,5,6,8,7,8,0,5,6,2,5,9,2,8,0,0,4,3,5,6,1,4,7,2,5,8,8,9",2026-09-18 18:18:54
11/10/2021 to 17/10/2021,"4,5,0,9,0,4,7,9,4,6,6,6,3,5,8,0,1,3,3,7,7,5,6,6,2,3,6,1,4,2,3,9,1,4,5,0,1,1,4,6,2,2,7,1,8,1,3,4,2,4,7,3,0,1,2,7",2026-09-18 18:18:54
18/10/2021 to 24/10/2021,"6,6,7,9,1,5,8,8,6,6,0,2,4,5,9,0,3,5,0,8,8,2,7,9,1,5,9,5,7,1,7,9,1,2,0,3,6,3,4,9,5,5,6,6,2,1,1,0,3,4,0,7,6,2,6,8",2026-09-18 18:18:54
25/10/2021 to 31/10/2021,"4,8,9,1,5,1,2,2,1,5,6,2,3,4,9,0,4,7,8,9,8,5,6,7,3,3,4,0,9,1,3,5,4,0,0,4,2,5,8,9,4,4,0,8,0,1,9,0,4,6,7,7,8,1,2,5",2026-09-18 18:18:54
